gbifID,institutionCode,catalogNumber,kingdom,phylum,class,order,family,genus,species,lon,lat,year,country,region
2737742874,CLO,OBS726306341,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.557465,17.700964,2019,Belize,Belize
2737906063,CLO,OBS731816116,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2738193486,CLO,OBS730511132,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.773476,17.86994,2019,Belize,Orange Walk
2738751172,CLO,OBS729792628,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.64868,17.702276,2019,Belize,Orange Walk
2739148822,CLO,OBS723406687,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2740194997,CLO,OBS721833395,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.134964,18.34218,2019,Belize,Corozal
2740276355,CLO,OBS729795124,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.64868,17.702276,2019,Belize,Orange Walk
2740567317,CLO,OBS728700177,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.567894,17.77772,2019,Belize,Orange Walk
2742445463,CLO,OBS717306437,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.615036,17.873577,2019,Belize,Orange Walk
2743338695,CLO,OBS728934503,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.12319,18.34475,2019,Belize,Corozal
2743457808,CLO,OBS729395376,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.56062,17.784424,2019,Belize,Belize
2744580402,CLO,OBS726940968,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2745371730,CLO,OBS725615732,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.534706,17.777632,2019,Belize,Belize
2745763825,CLO,OBS723402608,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2747108929,CLO,OBS718292921,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.27575,18.261652,2019,Belize,Corozal
2747871926,CLO,OBS726208289,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.52973,17.766958,2019,Belize,Belize
2747946649,CLO,OBS732034166,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2749009196,CLO,OBS737911111,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2750649763,CLO,OBS729577859,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
